iso2,lang_code,status
AD,cat,official
AE,ara,official
AF,prs,official
AF,pus,official
AF,tuk,official
AG,eng,official
AI,eng,official
AL,sqi,official
AM,hye,official
AO,por,official
AR,grn,official
AR,spa,official
AS,eng,official
AS,smo,official
AT,deu,official
AU,eng,official
AW,nld,official
AW,pap,official
AX,swe,official
AZ,aze,official
BA,bos,official
BA,hrv,official
BA,srp,official
BB,eng,official
BD,ben,official
BE,deu,official
BE,fra,official
BE,nld,official
BF,fra,official
BG,bul,official
BH,ara,official
BI,fra,official
BI,run,official
BJ,fra,official
BL,fra,official
BM,eng,official
BN,msa,official
BO,aym,official
BO,grn,official
BO,que,official
BO,spa,official
BQ,eng,official
BQ,nld,official
BQ,pap,official
BR,por,official
BS,eng,official
BT,dzo,official
BV,nor,official
BW,eng,official
BW,tsn,official
BY,bel,official
BY,rus,official
BZ,bjz,official
BZ,eng,official
BZ,spa,official
CA,eng,official
CA,fra,official
CC,eng,official
CD,fra,official
CD,kon,official
CD,lin,official
CD,lua,official
CD,swa,official
CF,fra,official
CF,sag,official
CG,fra,official
CG,kon,official
CG,lin,official
CH,fra,official
CH,gsw,official
CH,ita,official
CH,roh,official
CI,fra,official
CK,eng,official
CK,rar,official
CL,spa,official
CM,eng,official
CM,fra,official
CN,zho,official
CO,spa,official
CR,spa,official
CU,spa,official
CV,por,official
CW,eng,official
CW,nld,official
CW,pap,official
CX,eng,official
CY,ell,official
CY,tur,official
CZ,ces,official
CZ,slk,official
DE,deu,official
DJ,ara,official
DJ,fra,official
DK,dan,official
DM,eng,official
DO,spa,official
DZ,ara,official
EC,spa,official
EE,est,official
EG,ara,official
EH,ber,official
EH,mey,official
EH,spa,official
ER,ara,official
ER,eng,official
ER,tir,official
ES,cat,official
ES,eus,official
ES,glc,official
ES,spa,official
ET,amh,official
FI,fin,official
FI,swe,official
FJ,eng,official
FJ,fij,official
FJ,hif,official
FK,eng,official
FM,eng,official
FO,dan,official
FO,fao,official
FR,fra,official
GA,fra,official
GB,eng,official
GD,eng,official
GE,kat,official
GF,fra,official
GG,eng,official
GG,fra,official
GG,nfr,official
GH,eng,official
GI,eng,official
GL,kal,official
GM,eng,official
GN,fra,official
GP,fra,official
GQ,fra,official
GQ,por,official
GQ,spa,official
GR,ell,official
GS,eng,official
GT,spa,official
GU,cha,official
GU,eng,official
GU,spa,official
GW,por,official
GW,pov,official
GY,eng,official
HK,eng,official
HK,zho,official
HM,eng,official
HN,spa,official
HR,hrv,official
HT,fra,official
HT,hat,official
HU,hun,official
ID,ind,official
IE,eng,official
IE,gle,official
IL,ara,official
IL,heb,official
IM,eng,official
IM,glv,official
IN,eng,official
IN,hin,official
IN,tam,official
IO,eng,official
IQ,ara,official
IQ,arc,official
IQ,ckb,official
IR,fas,official
IS,isl,official
IT,cat,official
IT,ita,official
